LGA,hhsize,totalvehs,hhinc,hhsize_normalised,totalvehs_normalised,hhinc_normalised,dwelltype_Flat or Apartment,dwelltype_Other,dwelltype_Separate House,dwelltype_Terrace/Townhouse,owndwell_Being Purchased,owndwell_Being Rented,owndwell_Fully Owned,owndwell_Occupied Rent-Free,owndwell_Something Else,label
Stonnington,2.0,1.0,1375.0,0.2,0.25,0.4514514514514514,0,0,0,1,0,0,1,0,0,2
Whitehorse,1.0,1.0,2650.0,0.0,0.25,0.7787787787787788,0,0,1,0,1,0,0,0,0,6
Boroondara,6.0,2.0,2775.0,1.0,0.5,0.7997997997997998,0,0,1,0,1,0,0,0,0,3
HobsonsBay,4.0,2.0,2500.0,0.6,0.5,0.7347347347347347,0,0,1,0,1,0,0,0,0,3
Brimbank,4.0,2.0,3500.0,0.6,0.5,0.8833833833833833,0,0,1,0,0,1,0,0,0,0
Casey,4.0,3.0,3725.0,0.6,0.75,0.907907907907908,0,0,1,0,0,0,1,0,0,3
Kingston,1.0,1.0,4250.0,0.0,0.25,0.937937937937938,0,0,1,0,1,0,0,0,0,6
Moreland,2.0,0.0,2975.0,0.2,0.0,0.8168168168168168,0,0,0,1,0,1,0,0,0,1
Casey,4.0,2.0,900.0,0.6,0.5,0.3008008008008008,0,0,1,0,0,0,1,0,0,4
GreaterDandenong,4.0,3.0,3000.0,0.6,0.75,0.8248248248248248,0,0,1,0,0,0,1,0,0,3
Melton,2.0,0.0,350.0,0.2,0.0,0.0845845845845846,0,0,1,0,1,0,0,0,0,5
Brimbank,2.0,1.0,1000.0,0.2,0.25,0.3373373373373373,0,0,1,0,0,0,1,0,0,5
GreaterDandenong,4.0,0.0,3500.0,0.6,0.0,0.8833833833833833,0,0,1,0,0,1,0,0,0,0
GreaterGeelong,3.0,0.0,2275.0,0.4,0.0,0.6881881881881882,0,1,0,0,0,1,0,0,0,1
Whittlesea,2.0,1.0,4875.0,0.2,0.25,0.9559603301782268,1,0,0,0,1,0,0,0,0,2
Frankston,1.0,1.0,1375.0,0.0,0.25,0.4514514514514514,1,0,0,0,0,0,1,0,0,2
Wyndham,3.0,1.0,1124.0,0.4,0.25,0.3548548548548548,0,0,1,0,1,0,0,0,0,4
Melton,4.0,1.0,900.0,0.6,0.25,0.3008008008008008,0,0,1,0,0,0,1,0,0,3
Maribyrnong,5.0,1.0,2750.0,0.8,0.25,0.7912912912912913,0,0,1,0,0,0,1,0,0,3
PortPhillip,1.0,1.0,250.0,0.0,0.25,0.0565565565565565,1,0,0,0,0,1,0,0,0,1
Yarra,2.0,0.0,350.0,0.2,0.0,0.0845845845845846,1,0,0,0,0,1,0,0,0,1
Moreland,1.0,1.0,2500.0,0.0,0.25,0.7347347347347347,0,0,0,1,1,0,0,0,0,2
Casey,3.0,2.0,3500.0,0.4,0.5,0.8833833833833833,0,0,1,0,0,0,1,0,0,3
Brimbank,1.0,0.0,450.0,0.0,0.0,0.1131131131131131,0,0,1,0,1,0,0,0,0,5
Wyndham,1.0,1.0,3500.0,0.0,0.25,0.8833833833833833,0,0,1,0,1,0,0,0,0,6
Nillumbik,6.0,2.0,700.0,1.0,0.5,0.2247247247247247,0,0,1,0,1,0,0,0,0,4
GlenEira,3.0,2.0,500.0,0.4,0.5,0.1506506506506506,0,0,1,0,1,0,0,0,0,4
MorningtonPeninsula,4.0,4.0,1375.0,0.6,1.0,0.4514514514514514,0,0,1,0,0,0,1,0,0,4
Frankston,2.0,0.0,350.0,0.2,0.0,0.0845845845845846,1,0,0,0,0,0,1,0,0,2
Maribyrnong,4.0,2.0,3625.0,0.6,0.5,0.8998998998998999,0,0,0,1,0,1,0,0,0,1
YarraRanges,3.0,2.0,450.0,0.4,0.5,0.1131131131131131,0,0,1,0,0,1,0,0,0,0
Casey,1.0,1.0,1825.0,0.0,0.25,0.592092092092092,0,0,1,0,0,0,1,0,0,5
Casey,4.0,2.0,2850.0,0.6,0.5,0.8048048048048049,0,0,1,0,1,0,0,0,0,3
MorningtonPeninsula,1.0,1.0,1125.0,0.0,0.25,0.3763763763763763,0,0,1,0,0,0,1,0,0,5
